model,phase,trial,accepted,action,target_rule_id,stratum,f1_before,f1_after,delta_f1,delta_tp,delta_fp,delta_fn,target_before,target_after,eligible_before,eligible_after,improved_reports,worsened_reports,unchanged_reports,tie_break
DeepSeek,relation,5,True,REVISE,R01,MISSING_EDGE|LocatedAt,0.6122448979591837,0.6153846153846154,0.0031397174254317317,7,13,-7,27,17,140,141,4,5,3,False
DeepSeek,relation,6,True,REVISE,R02,SPURIOUS_EDGE|Modify,0.6153846153846154,0.6225402504472272,0.007155635062611743,2,-2,-2,27,22,141,140,7,4,1,False
DeepSeek,relation,7,False,REVISE,R01,SPURIOUS_EDGE|LocatedAt,0.6225402504472272,0.6162361623616236,-0.006304088085603565,-7,-10,7,30,22,140,142,4,7,1,False
DeepSeek,relation,8,True,ADD,,MISSING_EDGE|Modify,0.6225402504472272,0.644927536231884,0.022387285784656874,4,-11,-4,25,23,140,129,7,4,1,False
DeepSeek,relation,9,True,REVISE,R02,SPURIOUS_EDGE|Modify,0.644927536231884,0.6527050610820244,0.007777524850140383,9,12,-9,24,18,129,130,6,5,1,False
DeepSeek,relation,10,False,REVISE,R01,SPURIOUS_EDGE|LocatedAt,0.6527050610820244,0.6365217391304347,-0.01618332195158967,-4,6,4,38,42,130,136,3,8,1,False
DeepSeek,relation,11,False,ADD,,MISSING_EDGE|Modify,0.6527050610820244,0.6334519572953736,-0.019253103786650794,-9,-2,9,18,17,130,134,3,8,1,False
DeepSeek,relation,12,True,REVISE,R02,SPURIOUS_EDGE|Modify,0.6527050610820244,0.6570397111913358,0.004334650109311333,-5,-14,5,18,19,130,129,5,6,1,False
DeepSeek,relation,13,True,REVISE,R01,SPURIOUS_EDGE|LocatedAt,0.6570397111913358,0.6705882352941176,0.013548524102781845,-11,-33,11,32,13,129,116,7,5,0,False
DeepSeek,relation,14,False,ADD,,MISSING_EDGE|Modify,0.6705882352941176,0.6433823529411765,-0.02720588235294108,4,30,-4,34,19,116,129,4,7,1,False
DeepSeek,relation,15,False,ADD,,MISSING_EDGE|LocatedAt,0.6705882352941176,0.6309751434034416,-0.03961309189067597,-6,19,6,26,26,116,137,3,9,0,False
DeepSeek,relation,16,False,REVISE,R02,SPURIOUS_EDGE|Modify,0.6705882352941176,0.6434108527131783,-0.02717738258093927,-5,11,5,15,14,116,131,6,5,1,False
DeepSeek,relation,17,False,REVISE,R01,SPURIOUS_EDGE|LocatedAt,0.6705882352941176,0.6533864541832669,-0.01720178111085069,-7,-1,7,13,12,116,123,5,4,3,False
DeepSeek,relation,18,False,REVISE,RA008,WRONG_OBJECT_ATTACHMENT|Modify,0.6705882352941176,0.6297029702970297,-0.04088526499708789,-12,7,12,7,6,116,139,5,5,2,False
DeepSeek,relation,19,True,ADD,,REVERSED_DIRECTION|Modify,0.6705882352941176,0.6951456310679611,0.024557395773843527,8,-3,-8,5,0,116,111,8,3,1,False
DeepSeek,relation,20,False,REVISE,R02,MISSING_EDGE|Modify,0.6951456310679611,0.6085271317829457,-0.08661849928501542,-22,23,22,34,41,111,141,1,11,0,False
DeepSeek,relation,21,True,ADD,,MISSING_EDGE|LocatedAt,0.6951456310679611,0.7039106145251397,0.008764983457178577,10,12,-10,22,12,111,110,6,5,1,False
DeepSeek,relation,22,True,ADD,,MISSING_EDGE|Modify,0.7039106145251397,0.7495495495495496,0.045638935024409855,19,-1,-19,33,12,110,90,10,2,0,False
DeepSeek,relation,23,False,REVISE,R01,SPURIOUS_EDGE|LocatedAt,0.7495495495495496,0.7379679144385026,-0.011581635111046928,-1,7,1,20,22,90,95,3,6,3,False
DeepSeek,relation,24,False,REVISE,RA008,SPURIOUS_EDGE|Modify,0.7495495495495496,0.725314183123878,-0.02423536642567159,-6,8,6,15,19,90,103,3,7,2,False
DeepSeek,relation,25,False,ADD,,MISSING_EDGE|LocatedAt,0.7495495495495496,0.7107142857142857,-0.03883526383526381,-9,14,9,14,11,90,112,3,7,2,False
DeepSeek,relation,26,False,ADD,,MISSING_EDGE|Modify,0.7495495495495496,0.7262969588550984,-0.02325259069445118,-5,9,5,12,16,90,99,4,6,2,False
DeepSeek,relation,27,False,REVISE,R03,SPURIOUS_EDGE|SuggestiveOf,0.7495495495495496,0.7292418772563177,-0.020307672293231827,-6,5,6,7,4,90,98,5,5,2,False
DeepSeek,relation,28,False,REVISE,RA008,WRONG_OBJECT_ATTACHMENT|Modify,0.7495495495495496,0.7269372693726938,-0.022612280176855792,-11,-2,11,7,2,90,104,4,7,1,False
DeepSeek,relation,29,False,ADD,,WRONG_OBJECT_ATTACHMENT|LocatedAt,0.7495495495495496,0.6210720887245841,-0.12847746082496547,-40,26,40,6,30,90,133,0,12,0,False
DeepSeek,relation,30,False,REVISE,R03,MISSING_EDGE|SuggestiveOf,0.7495495495495496,0.701627486437613,-0.047922063111936586,-14,12,14,2,7,90,105,1,8,3,False
DeepSeek,relation,31,False,REVISE,R02,WRONG_PREDICATE|LocatedAt->Modify,0.7495495495495496,0.7169117647058824,-0.032637784843667195,-13,2,13,2,1,90,106,3,6,3,False
DeepSeek,relation,32,False,ADD,,WRONG_SUBJECT_ATTACHMENT|Modify,0.7495495495495496,0.7473309608540926,-0.002218588695456991,2,5,-2,2,2,90,92,7,5,0,False
DeepSeek,relation,33,False,REVISE,R01,REVERSED_DIRECTION|LocatedAt,0.7495495495495496,0.6958105646630237,-0.05373898488652584,-17,11,17,1,1,90,108,2,8,2,False
DeepSeek,relation,34,False,REVISE,R01,WRONG_PREDICATE|Modify->LocatedAt,0.7495495495495496,0.7362637362637363,-0.013285813285813242,-7,-2,7,1,1,90,94,3,8,1,False
DeepSeek,relation,35,False,REVISE,RA021,WRONG_SUBJECT_ATTACHMENT|LocatedAt,0.7495495495495496,0.7184115523465704,-0.031137997202979162,-9,8,9,1,1,90,104,4,6,2,False
Terra,entity,1,False,REVISE,E10,ENT_BOUNDARY|OBS-DP,0.7594627594627594,0.7356881851400731,-0.02377457432268637,-9,11,9,21,24,126,136,3,4,5,False
Terra,entity,2,False,REVISE,E10,ENT_BOUNDARY|ANAT,0.7594627594627594,0.7409200968523002,-0.018542662610459226,-5,12,5,20,20,126,136,5,5,2,False
Terra,entity,3,False,ADD,,ENT_FP|OBS-DP,0.7594627594627594,0.749691738594328,-0.009771020868431401,-7,-1,7,16,5,126,124,4,5,3,False
Terra,entity,4,True,ADD,,ENT_FN|OBS-DP,0.7594627594627594,0.7705112960760999,0.011048536613340487,13,9,-13,12,2,126,121,5,4,3,False
Terra,entity,5,True,REVISE,E10,ENT_BOUNDARY|OBS-DP,0.7705112960760999,0.7990487514863258,0.028537455410225898,12,-12,-12,21,16,121,107,3,3,6,False
Terra,entity,6,True,REVISE,E08,ENT_FP|OBS-DP,0.7990487514863258,0.8151774785801713,0.016128727093845496,-3,-21,3,20,3,107,91,5,4,3,False
Terra,entity,7,False,REVISE,E10,ENT_BOUNDARY|ANAT,0.8151774785801713,0.7980416156670747,-0.017135862913096656,-7,7,7,16,14,91,104,3,5,4,False
Terra,entity,8,True,REVISE,E10,ENT_BOUNDARY|OBS-DP,0.8151774785801713,0.8186274509803921,0.0034499724002208243,1,-2,-1,13,15,91,92,4,3,5,False
Terra,entity,9,False,REVISE,E07,ENT_BOUNDARY|OBS-DP,0.8186274509803921,0.7995110024449877,-0.019116448535404396,-7,9,7,15,13,92,103,5,6,1,False
Terra,entity,10,False,ADD,,ENT_FP|ANAT,0.8186274509803921,0.7625,-0.05612745098039218,-29,13,29,12,5,92,114,4,6,2,False
Terra,entity,11,False,REVISE,E10,ENT_BOUNDARY|OBS-DA,0.8186274509803921,0.7716727716727717,-0.04695467930762043,-18,21,18,12,11,92,112,4,5,3,False
Terra,entity,12,False,REVISE,E03,ENT_BOUNDARY|ANAT,0.8186274509803921,0.5564738292011019,-0.26215362177929025,-132,42,132,10,64,92,217,0,12,0,False
Terra,entity,13,False,REVISE,E08,ENT_FN|OBS-DP,0.8186274509803921,0.8,-0.01862745098039209,0,19,0,9,0,92,100,5,5,2,False
Terra,entity,14,False,REVISE,E08,ENT_FP|OBS-DP,0.8186274509803921,0.805352798053528,-0.013274652926864139,-3,9,3,6,10,92,101,5,4,3,False
Terra,entity,15,False,REVISE,E09,ENT_LABEL|OBS-DP->ANAT,0.8186274509803921,0.7579462102689487,-0.06068124071144343,-24,26,24,6,0,92,116,3,8,1,False
Terra,entity,16,False,ADD,,ENT_FP|OBS-U,0.8186274509803921,0.7707558859975217,-0.047871564982870485,-23,14,23,5,1,92,110,4,6,2,False
Terra,entity,17,False,REVISE,E06,ENT_LABEL|OBS-DP->OBS-U,0.8186274509803921,0.7872860635696821,-0.03134138741071002,-12,14,12,5,0,92,107,6,5,1,False
Terra,entity,18,False,REVISE,E10,ENT_BOUNDARY|OBS-U,0.8186274509803921,0.7701711491442543,-0.048456301836137805,-19,21,19,4,7,92,114,3,6,3,False
Terra,entity,19,False,REVISE,E05,ENT_LABEL|OBS-DP->OBS-DA,0.8186274509803921,0.7484811664641555,-0.07014628451623661,-26,33,26,3,0,92,122,2,8,2,False
Terra,entity,20,False,ADD,,ENT_FN|ANAT,0.8186274509803921,0.7829268292682927,-0.03570062171209942,-13,17,13,1,0,92,106,5,5,2,False
Terra,entity,21,False,ADD,,ENT_FN|OBS-DA,0.8186274509803921,0.8034398034398035,-0.015187647540588656,-7,5,7,1,0,92,99,5,2,5,False
Terra,entity,22,True,ADD,,ENT_FN|OBS-U,0.8186274509803921,0.8284313725490197,0.009803921568627527,4,-4,-4,1,1,92,88,4,3,5,False
Terra,entity,23,False,REVISE,E01,ENT_FP|ANAT,0.8284313725490197,0.7445255474452555,-0.08390582510376421,-32,38,32,13,17,88,139,1,11,0,False
Terra,entity,24,False,ADD,,ENT_BOUNDARY|OBS-DP,0.8284313725490197,0.7931034482758621,-0.03532792427315756,-16,12,16,11,12,88,104,3,6,3,False
Terra,entity,25,False,REVISE,E03,ENT_BOUNDARY|ANAT,0.8284313725490197,0.6811779769526248,-0.14725339559639483,-72,37,72,10,48,88,157,0,12,0,False
Terra,entity,26,False,ADD,,ENT_BOUNDARY|OBS-DA,0.8284313725490197,0.7784577723378213,-0.049973600211198344,-20,21,20,10,11,88,111,2,7,3,False
Terra,entity,27,False,REVISE,E04,ENT_FN|OBS-DP,0.8284313725490197,0.8141809290953546,-0.014250443453665107,-5,7,5,10,8,88,93,3,6,3,False
Terra,entity,28,False,REVISE,E09,ENT_LABEL|OBS-DP->ANAT,0.8284313725490197,0.8196319018404908,-0.008799470708528823,-4,3,4,7,2,88,93,7,3,2,False
Terra,entity,29,False,REVISE,E10,ENT_BOUNDARY|OBS-U,0.8284313725490197,0.7722772277227723,-0.056154144826247365,-26,18,26,6,7,88,112,3,6,3,False
Terra,entity,30,False,ADD,,ENT_FP|OBS-U,0.8284313725490197,0.8242574257425742,-0.00417394680644545,-5,-3,5,6,2,88,89,4,4,4,False
Terra,entity,31,True,REVISE,E06,ENT_LABEL|OBS-DP->OBS-U,0.8284313725490197,0.8298653610771114,0.0014339885280917342,1,0,-1,5,1,88,85,6,6,0,False
Terra,entity,32,True,REVISE,E07,ENT_BOUNDARY|OBS-DP,0.8298653610771114,0.8312958435207825,0.001430482443671055,1,0,-1,15,12,85,85,5,4,3,False
Terra,entity,33,False,REVISE,E10,ENT_BOUNDARY|ANAT,0.8312958435207825,0.8014705882352942,-0.029825255285488295,-13,11,13,17,19,85,101,1,6,5,False
Terra,entity,34,False,REVISE,E01,ENT_FP|ANAT,0.8312958435207825,0.7842170160295932,-0.0470788274911893,-22,15,22,13,11,85,110,1,7,4,False
Terra,entity,35,False,REVISE,E10,ENT_BOUNDARY|OBS-DP,0.8312958435207825,0.802937576499388,-0.028358267021394434,-12,11,12,12,18,85,97,1,6,5,False
Terra,entity,36,False,REVISE,E10,ENT_BOUNDARY|OBS-DA,0.8312958435207825,0.8215158924205379,-0.009779951100244544,-4,4,4,9,13,85,89,2,6,4,False
Terra,entity,37,False,REVISE,E06,ENT_FP|OBS-DP,0.8312958435207825,0.8004926108374384,-0.03080323268334406,-15,9,15,7,4,85,97,3,5,4,False
Terra,entity,38,True,REVISE,E10,ENT_BOUNDARY|OBS-U,0.8312958435207825,0.8522588522588522,0.020963008738069777,9,-8,-9,6,5,85,75,5,0,7,False
Terra,entity,39,False,REVISE,E10,ENT_BOUNDARY|ANAT,0.8522588522588522,0.8131868131868132,-0.039072039072039044,-16,16,16,16,17,75,94,1,7,4,False
Terra,entity,40,True,REVISE,E01,ENT_FP|ANAT,0.8522588522588522,0.8557575757575757,0.0034987234987234883,4,2,-4,13,15,75,86,4,6,2,False
Terra,entity,41,False,ADD,,ENT_FP|OBS-DP,0.8557575757575757,0.8424908424908425,-0.013266733266733222,-8,2,8,18,10,86,86,3,7,2,False
Terra,entity,42,False,ADD,,ENT_FP|ANAT,0.8557575757575757,0.8546583850931677,-0.0010991906644080007,-9,-11,9,15,6,86,74,5,5,2,False
Terra,entity,43,False,REVISE,E08,ENT_FN|OBS-DP,0.8557575757575757,0.7875894988066826,-0.06816807695089311,-23,36,23,7,2,86,117,3,9,0,False
Terra,entity,44,False,REVISE,E10,ENT_BOUNDARY|ANAT,0.8557575757575757,0.8321167883211679,-0.02364078743640785,-11,8,11,7,11,86,94,4,6,2,False
Terra,entity,45,True,ADD,,ENT_BOUNDARY|OBS-U,0.8557575757575757,0.8742368742368742,0.018479298479298523,5,-11,-5,6,2,86,73,9,3,0,False
Terra,entity,46,False,ADD,,ENT_FP|ANAT,0.8742368742368742,0.8401486988847584,-0.034088175352115835,-19,7,19,13,6,73,79,4,7,1,False
Terra,entity,47,False,ADD,,ENT_FP|OBS-DP,0.8742368742368742,0.8472049689440994,-0.027031905292774883,-17,3,17,13,5,73,80,5,6,1,False
Terra,entity,48,False,REVISE,E10,ENT_BOUNDARY|OBS-DP,0.8742368742368742,0.8170731707317073,-0.057163703505166974,-23,24,23,7,15,73,99,1,9,2,False
Terra,entity,49,False,REVISE,E10,ENT_BOUNDARY|ANAT,0.8742368742368742,0.7980652962515115,-0.07617157798536278,-28,36,28,7,16,73,112,1,10,1,False
Terra,entity,50,False,REVISE,E09,ENT_LABEL|OBS-DP->ANAT,0.8742368742368742,0.8174123337363967,-0.05682454050047758,-20,28,20,6,0,73,100,5,7,0,False
Terra,entity,51,False,REVISE,E01,ENT_FN|ANAT,0.8742368742368742,0.8442330558858502,-0.03000381835102406,-3,25,3,6,0,73,91,4,6,2,False
Terra,entity,52,False,REVISE,E08,ENT_FN|OBS-DP,0.8742368742368742,0.8216867469879519,-0.052550127248922385,-17,28,17,5,0,73,97,2,9,1,False
Terra,entity,53,False,REVISE,E10,ENT_BOUNDARY|OBS-DA,0.8742368742368742,0.8477466504263094,-0.026490223810564872,-10,12,10,4,4,73,85,3,7,2,False
Terra,entity,54,False,REVISE,E05,ENT_LABEL|OBS-DP->OBS-DA,0.8742368742368742,0.7593712212817413,-0.11486565295513296,-44,52,44,3,0,73,127,2,9,1,False
Terra,entity,55,False,REVISE,E10,ENT_BOUNDARY|OBS-U,0.8742368742368742,0.8092909535452323,-0.06494592069164196,-27,26,27,2,4,73,102,3,7,2,False
Terra,entity,56,False,REVISE,E06,ENT_FN|OBS-U,0.8742368742368742,0.8137254901960784,-0.06051138404079581,-26,23,26,2,1,73,97,3,7,2,False
Terra,entity,57,False,REVISE,E06,ENT_FP|OBS-U,0.8742368742368742,0.8148148148148148,-0.05942205942205947,-28,19,28,2,0,73,95,0,8,4,False
Terra,entity,58,False,REVISE,E05,ENT_FN|OBS-DA,0.8742368742368742,0.8437884378843789,-0.03044843635249539,-15,9,15,1,2,73,82,3,5,4,False
Terra,entity,59,False,REVISE,E05,ENT_FP|OBS-DA,0.8742368742368742,0.8351920693928129,-0.039044804844061365,-21,9,21,1,0,73,88,5,5,2,False
Terra,entity,60,False,REVISE,EA022,ENT_LABEL|OBS-DP->OBS-U,0.8742368742368742,0.8058252427184466,-0.06841163151842766,-26,31,26,1,0,73,103,2,7,3,False
Terra,relation,1,True,REVISE,R04,SPURIOUS_EDGE|Modify,0.5163511187607573,0.5342960288808665,0.017944910120109125,-2,-25,2,61,46,176,162,7,4,1,False
